#ObjectID	MJD	Range	Phase angle	RA	DE	dRA	dDE	Length	Beta	A*rho	m_abs	m_app	Luminosity	Shadow	Lon	Lat
#	d	m	deg	deg	deg	arcsec / s	arcsec / s	arcsec	--	m2	mag	mag	W	--	deg	deg
00008	60234.365142882	7.525e+06	0.88690	62.76669	-22.97402	183.33679	-132.49494	1.57085	0.67408	2.52828	30.05798	30.37584	4.142e+14	False	-94.03244	-23.02917
00009	60234.365142882	7.526e+06	0.96634	68.24103	-28.43369	207.41377	-120.41399	1.66551	0.67408	2.52828	30.05798	30.43243	4.142e+14	False	-88.57465	-28.51956
00010	60234.365142882	7.526e+06	1.04613	74.29639	-33.64985	235.12982	-104.49429	1.78683	0.67408	2.52828	30.05798	30.49355	4.142e+14	False	-82.53748	-33.76265
00011	60234.365142882	7.527e+06	1.12610	81.10503	-38.53245	264.14016	-84.15686	1.92516	0.67408	2.52828	30.05798	30.55901	4.142e+14	False	-75.74816	-38.66887
00012	60234.365142882	7.528e+06	1.20611	88.85360	-42.96430	290.37363	-59.31717	2.05813	0.67408	2.52828	30.05798	30.62860	4.142e+14	False	-68.01882	-43.12202
00013	60234.365142882	7.528e+06	1.28605	97.71350	-46.79563	308.85968	-30.70971	2.15544	0.67408	2.52828	30.05798	30.70207	4.142e+14	False	-59.17560	-46.97363
00014	60234.365142882	7.529e+06	1.36580	107.77658	-49.84560	315.48958	0.05058	2.19090	0.67408	2.52828	30.05798	30.77909	4.142e+14	False	-49.12270	-50.04406
00015	60234.365142882	7.530e+06	1.44521	118.95735	-51.92011	308.69066	30.78912	2.15432	0.67408	2.52828	30.05798	30.85924	4.142e+14	False	-37.94095	-52.13974
00016	60234.365142882	7.531e+06	1.52409	130.90435	-52.85189	290.07078	59.33458	2.05609	0.67408	2.52828	30.05798	30.94198	4.142e+14	False	-25.97881	-53.09280
00017	60234.365142882	7.532e+06	1.60219	143.02313	-52.55464	263.75836	84.08599	1.92248	0.67408	2.52828	30.05798	31.02658	4.142e+14	False	-13.83245	-52.81526
00018	60234.365142882	7.533e+06	1.67918	154.65733	-51.05782	234.72179	104.32420	1.78376	0.67408	2.52828	30.05798	31.11214	4.142e+14	False	-2.16466	-51.33462
00019	60234.365142882	7.533e+06	1.75456	165.31747	-48.49439	207.01520	120.14600	1.66218	0.67408	2.52828	30.05798	31.19747	4.142e+14	False	8.52763	-48.78241
00020	60234.365142882	7.534e+06	1.82768	174.78867	-45.05154	182.96096	132.13930	1.56728	0.67408	2.52828	30.05798	31.28112	4.142e+14	False	18.02482	-45.34498
00021	60234.365142882	7.535e+06	1.89762	183.08509	-40.92077	163.36831	141.04033	1.49880	0.67408	2.52828	30.05798	31.36131	4.142e+14	False	26.33965	-41.21338
00022	60234.365142882	7.536e+06	1.96311	190.34802	-36.26869	148.15482	147.52510	1.45193	0.67408	2.52828	30.05798	31.43598	4.142e+14	False	33.61409	-36.55394
00023	60234.365142882	7.536e+06	2.02248	196.76172	-31.22865	136.87858	152.12889	1.42114	0.67408	2.52828	30.05798	31.50275	4.142e+14	False	40.03375	-31.49990
00024	60234.365142882	7.537e+06	2.07353	202.50761	-25.90362	129.04605	155.23914	1.40188	0.67408	2.52828	30.05798	31.55908	4.142e+14	False	45.78135	-26.15439
00025	60234.365142882	7.537e+06	2.11354	207.74724	-20.37214	124.25084	157.11526	1.39103	0.67408	2.52828	30.05798	31.60228	4.142e+14	False	51.01949	-20.59637
00026	60234.365142882	7.537e+06	2.13937	212.61887	-14.69535	122.22512	157.91047	1.38671	0.67408	2.52828	30.05798	31.62965	4.142e+14	False	55.88718	-14.88779
00027	60234.365142882	7.537e+06	2.14783	217.24130	-8.92198	122.85236	157.68790	1.38816	0.67408	2.52828	30.05798	31.63852	4.142e+14	False	60.50369	-9.07844
00028	60234.365142882	7.537e+06	2.13618	221.71904	-3.09290	126.16970	156.42750	1.39561	0.67408	2.52828	30.05798	31.62630	4.142e+14	False	64.97383	-3.21053
00029	60234.365142882	7.537e+06	2.10281	226.14790	2.75518	132.36744	154.02390	1.41033	0.67408	2.52828	30.05798	31.59078	4.142e+14	False	69.39353	2.67778
00030	60234.365142882	7.536e+06	2.04763	230.62097	8.58724	141.78421	150.27481	1.43475	0.67408	2.52828	30.05798	31.53064	4.142e+14	False	73.85593	8.54998
00031	60234.365142882	7.536e+06	1.97217	235.23401	14.36691	154.88098	144.86137	1.47270	0.67408	2.52828	30.05798	31.44623	4.142e+14	False	78.45674	14.36832
00032	60234.365142882	7.535e+06	1.87926	240.09087	20.05332	172.15599	137.32558	1.52929	0.67408	2.52828	30.05798	31.34028	4.142e+14	False	83.29973	20.09076
00033	60234.365142882	7.534e+06	1.77248	245.30975	25.59819	193.93700	127.05830	1.61008	0.67408	2.52828	30.05798	31.21792	4.142e+14	False	88.50300	25.66824
00034	60234.365142882	7.533e+06	1.65573	251.02807	30.94093	219.96456	113.33442	1.71837	0.67408	2.52828	30.05798	31.08588	4.142e+14	False	94.20399	31.03982
00035	60234.365142882	7.532e+06	1.53274	257.40658	36.00373	248.77839	95.44815	1.85042	0.67408	2.52828	30.05798	30.95122	4.142e+14	False	100.56369	36.12787
00036	60234.365142882	7.531e+06	1.40684	264.62682	40.68482	277.19717	72.99423	1.99060	0.67408	2.52828	30.05798	30.82010	4.142e+14	False	107.76444	40.83134
00037	60234.365142882	7.530e+06	1.28079	272.87423	44.85178	300.53599	46.23432	2.11161	0.67408	2.52828	30.05798	30.69712	4.142e+14	False	115.99341	45.01896
00038	60234.365142882	7.529e+06	1.15672	282.29484	48.33892	313.96042	16.32770	2.18323	0.67408	2.52828	30.05798	30.58517	4.142e+14	False	125.39981	48.52638
00039	60234.365142882	7.528e+06	1.03621	292.91202	50.95457	314.36635	-14.78261	2.18551	0.67408	2.52828	30.05798	30.48572	4.142e+14	False	136.01145	51.16287
00040	60234.365142882	7.527e+06	0.92038	304.52335	52.50934	301.65938	-44.83552	2.11787	0.67408	2.52828	30.05798	30.39917	4.142e+14	False	147.63026	52.73908
00041	60234.365142882	7.526e+06	0.81014	316.65007	52.86569	278.79245	-71.85271	1.99933	0.67408	2.52828	30.05798	30.32529	4.142e+14	False	159.77855	53.11629
00042	60234.365142882	7.525e+06	0.70634	328.63570	51.98836	250.55160	-94.61617	1.85987	0.67408	2.52828	30.05798	30.26347	4.142e+14	False	171.79562	52.25730
00043	60234.365142882	7.524e+06	0.61005	339.87540	49.95918	221.67697	-112.81156	1.72730	0.67408	2.52828	30.05798	30.21300	4.142e+14	False	-176.93090	50.24217
